student_id,branch,year,cgpa,current_skills,skill_level,certifications,dream_role,available_hours_per_week,learning_mode,career_goal
STU001,Information Technology,1st,8.51,"React, JavaScript",Advanced,AWS Cloud Practitioner,Software Developer,20,Offline,Government Job
STU002,Electronics & Communication,2nd,6.5,"Verilog, Embedded C, C++",Advanced,NPTEL Python,IoT Developer,13,Online,Startup
STU003,Electronics & Communication,1st,9.62,"MATLAB, Verilog",Advanced,Cisco CCNA,IoT Developer,6,Hybrid,Placement
STU004,Mechanical,3rd,9.0,"MATLAB, ANSYS, SolidWorks, AutoCAD",Advanced,AWS Cloud Practitioner,Robotics Engineer,10,Hybrid,Government Job
STU005,Information Technology,2nd,7.76,"SQL, Node.js, Git",Intermediate,Cisco CCNA,Full Stack Developer,20,Offline,Government Job
STU006,Computer Science,1st,6.98,"Python, Machine Learning",Intermediate,NPTEL Python,Backend Developer,14,Hybrid,Higher Studies
STU007,Information Technology,4th,8.85,"Node.js, SQL, React, Python, JavaScript",Advanced,Cisco CCNA,Cloud Engineer,7,Offline,Placement
STU008,Electrical,2nd,8.29,"Circuit Design, Power Systems, PLC Programming",Beginner,NPTEL Python,Power Systems Engineer,9,Online,Placement
STU009,Mechanical,3rd,6.02,"SolidWorks, AutoCAD, ANSYS, MATLAB",Advanced,None,Mechanical Design Engineer,9,Online,Placement
STU010,Civil,2nd,9.62,"Excel, Surveying, AutoCAD",Intermediate,Cisco CCNA,Civil Site Engineer,8,Online,Startup
STU011,Computer Science,1st,8.32,"Git, Python",Intermediate,None,Data Scientist,20,Offline,Higher Studies
STU012,Computer Science,2nd,6.56,"Algorithms, Git, Python",Advanced,AWS Cloud Practitioner,Software Developer,16,Online,Higher Studies
STU013,Computer Science,3rd,6.76,"React, Python, Data Structures, Machine Learning",Intermediate,None,Software Developer,9,Hybrid,Startup
STU014,Electrical,1st,7.86,"MATLAB, Power Systems",Intermediate,Google Data Analytics,Electrical Engineer,6,Hybrid,Placement
STU015,Computer Science,4th,8.05,"Python, React, SQL, Java, Algorithms",Advanced,Cisco CCNA,Software Developer,15,Hybrid,Startup
STU016,Civil,3rd,7.21,"STAAD Pro, AutoCAD, Excel, Surveying",Beginner,AWS Cloud Practitioner,Civil Site Engineer,16,Offline,Higher Studies
STU017,Information Technology,1st,8.77,"Python, JavaScript",Advanced,AWS Cloud Practitioner,Cloud Engineer,6,Hybrid,Higher Studies
STU018,Electronics & Communication,1st,6.24,"Embedded C, C",Intermediate,AWS Cloud Practitioner,Embedded Systems Engineer,7,Offline,Government Job
STU019,Electronics & Communication,1st,9.12,"Embedded C, Verilog",Intermediate,AWS Cloud Practitioner,VLSI Engineer,20,Online,Higher Studies
STU020,Computer Science,3rd,6.72,"Java, Git, Machine Learning, Python",Intermediate,None,ML Engineer,14,Hybrid,Placement
STU021,Chemical,2nd,6.91,"Excel, Safety Management, MATLAB",Beginner,None,Production Engineer,8,Offline,Startup
STU022,Electronics & Communication,1st,7.59,"Embedded C, C++",Intermediate,NPTEL Python,VLSI Engineer,18,Hybrid,Placement
STU023,Computer Science,2nd,7.71,"Java, React, Machine Learning",Advanced,Cisco CCNA,Backend Developer,10,Offline,Government Job
STU024,Chemical,2nd,9.28,"Safety Management, Excel, MATLAB",Advanced,Cisco CCNA,Production Engineer,5,Hybrid,Startup
STU025,Mechanical,4th,7.0,"ANSYS, AutoCAD, SolidWorks, MATLAB",Beginner,Google Data Analytics,Automotive Engineer,5,Offline,Government Job
STU026,Mechanical,4th,9.24,"MATLAB, SolidWorks, AutoCAD, ANSYS",Beginner,Cisco CCNA,Robotics Engineer,19,Online,Placement
STU027,Civil,3rd,8.15,"STAAD Pro, Excel, Surveying, AutoCAD",Advanced,AWS Cloud Practitioner,Structural Engineer,13,Online,Placement
STU028,Information Technology,2nd,6.88,"Git, SQL, React",Advanced,AWS Cloud Practitioner,Software Developer,16,Online,Startup
STU029,Electrical,4th,9.26,"PLC Programming, Circuit Design, MATLAB, Power Systems",Beginner,NPTEL Python,Power Systems Engineer,12,Offline,Startup
STU030,Mechanical,2nd,9.06,"AutoCAD, MATLAB, ANSYS",Beginner,AWS Cloud Practitioner,Robotics Engineer,13,Online,Placement
STU031,Computer Science,4th,7.61,"Algorithms, Python, Machine Learning, Git, Java",Beginner,Google Data Analytics,ML Engineer,5,Hybrid,Higher Studies
STU032,Information Technology,2nd,6.44,"JavaScript, SQL, Node.js",Intermediate,NPTEL Python,Software Developer,17,Hybrid,Government Job
STU033,Electrical,4th,8.52,"Circuit Design, Power Systems, PLC Programming, MATLAB",Intermediate,NPTEL Python,Power Systems Engineer,9,Online,Higher Studies
STU034,Electronics & Communication,1st,6.64,"Embedded C, C",Intermediate,Google Data Analytics,VLSI Engineer,6,Online,Government Job
STU035,Electronics & Communication,3rd,8.22,"Embedded C, C, C++, MATLAB",Advanced,Google Data Analytics,Embedded Systems Engineer,11,Online,Placement
STU036,Electronics & Communication,1st,8.32,"MATLAB, C++",Advanced,AWS Cloud Practitioner,IoT Developer,17,Offline,Government Job
STU037,Civil,1st,8.92,"Surveying, AutoCAD",Beginner,AWS Cloud Practitioner,Civil Site Engineer,11,Offline,Startup
STU038,Electrical,1st,7.02,"Circuit Design, Power Systems",Intermediate,NPTEL Python,Power Systems Engineer,19,Offline,Higher Studies
STU039,Computer Science,1st,8.16,"Algorithms, SQL",Beginner,NPTEL Python,ML Engineer,15,Offline,Placement
STU040,Computer Science,4th,8.44,"React, Python, Git, Data Structures, Machine Learning",Advanced,NPTEL Python,Data Scientist,15,Offline,Government Job
STU041,Computer Science,3rd,6.89,"Data Structures, Algorithms, SQL, Python",Beginner,None,ML Engineer,13,Online,Startup
STU042,Mechanical,1st,9.37,"AutoCAD, SolidWorks",Beginner,AWS Cloud Practitioner,Robotics Engineer,15,Hybrid,Placement
STU043,Computer Science,1st,9.03,"Python, Data Structures",Beginner,AWS Cloud Practitioner,Data Scientist,13,Offline,Startup
STU044,Information Technology,3rd,6.63,"Git, React, Node.js, JavaScript",Beginner,Cisco CCNA,Cloud Engineer,8,Hybrid,Higher Studies
STU045,Chemical,2nd,7.0,"Process Simulation, Excel, MATLAB",Advanced,NPTEL Python,Production Engineer,20,Online,Startup
STU046,Chemical,3rd,6.6,"Process Simulation, Safety Management, MATLAB, Excel",Beginner,None,Production Engineer,14,Hybrid,Government Job
