student_id,branch,year,cgpa,known_skills,projects_completed,internship_status,preferred_domain,preferred_role,coding_level,communication_level,english_level,daily_learning_hours,career_goal
STU0001,Civil,1,6.14,"SK217, SK105, SK102, SK133, SK049",7,No,Data Science,ROLE027,Intermediate,Beginner,Fluent,2,AI Engineer
STU0002,EEE,4,6.17,"SK103, SK125, SK109, SK266, SK196",2,No,Data Science,ROLE013,Intermediate,Beginner,Fluent,2,Software Engineer
STU0003,Mechanical,2,9.0,"SK159, SK010, SK059, SK161, SK119",1,No,DevOps,ROLE047,Intermediate,Intermediate,Fluent,2,AI Engineer
STU0004,IT,4,6.07,"SK056, SK147, SK225, SK152, SK164",7,Yes,Cyber Security,ROLE036,Beginner,Intermediate,Intermediate,3,Cyber Security Analyst
STU0005,ECE,1,7.12,"SK059, SK069, SK166, SK253, SK021",6,No,Web Development,ROLE034,Intermediate,Beginner,Basic,4,Full Stack Developer
STU0006,ECE,2,6.5,"SK251, SK079, SK053, SK104, SK218",5,No,Mobile,ROLE033,Intermediate,Intermediate,Intermediate,6,AI Engineer
STU0007,Mechanical,4,7.21,"SK199, SK088, SK123, SK051, SK191",5,No,Data Science,ROLE046,Beginner,Beginner,Intermediate,3,Cloud Engineer
STU0008,IT,4,7.54,"SK189, SK170, SK222, SK135, SK153",7,No,Web Development,ROLE034,Beginner,Intermediate,Fluent,2,AI Engineer
STU0009,Civil,1,8.0,"SK068, SK078, SK269, SK239, SK145",1,Yes,Web Development,ROLE044,Beginner,Intermediate,Intermediate,2,Cloud Engineer
STU0010,IT,2,9.72,"SK214, SK130, SK018, SK194, SK088",7,No,AI,ROLE011,Beginner,Beginner,Fluent,2,Cyber Security Analyst
STU0011,Mechanical,1,9.39,"SK121, SK017, SK097, SK152, SK267",2,No,DevOps,ROLE049,Beginner,Advanced,Intermediate,6,Data Scientist
STU0012,CSE,3,8.42,"SK079, SK252, SK156, SK260, SK021",1,No,DevOps,ROLE020,Intermediate,Intermediate,Basic,5,Software Engineer
STU0013,Civil,2,9.65,"SK020, SK075, SK267, SK172, SK041",8,No,DevOps,ROLE011,Advanced,Intermediate,Intermediate,5,Data Scientist
STU0014,Civil,2,6.9,"SK029, SK150, SK045, SK046, SK070",3,Yes,Web Development,ROLE029,Advanced,Advanced,Basic,1,Data Scientist
STU0015,Civil,1,6.84,"SK070, SK108, SK224, SK217, SK250",7,No,Mobile,ROLE004,Intermediate,Intermediate,Fluent,2,AI Engineer
STU0016,CSE,4,8.91,"SK214, SK199, SK171, SK244, SK056",7,Yes,AI,ROLE049,Intermediate,Intermediate,Basic,5,Full Stack Developer
STU0017,Mechanical,4,7.67,"SK128, SK257, SK232, SK039, SK081",2,Yes,Data Science,ROLE027,Beginner,Beginner,Fluent,3,Cloud Engineer
STU0018,IT,4,8.08,"SK274, SK058, SK217, SK031, SK123",1,Yes,DevOps,ROLE032,Advanced,Beginner,Intermediate,6,Cloud Engineer
STU0019,CSE,1,9.72,"SK061, SK027, SK063, SK008, SK091",4,No,AI,ROLE024,Intermediate,Beginner,Basic,5,Software Engineer
STU0020,ECE,1,9.61,"SK078, SK002, SK173, SK255, SK234",6,Yes,AI,ROLE015,Advanced,Intermediate,Basic,1,Cloud Engineer
STU0021,Mechanical,3,7.24,"SK044, SK193, SK051, SK265, SK250",7,No,Web Development,ROLE039,Intermediate,Intermediate,Fluent,2,Data Scientist
STU0022,EEE,4,9.37,"SK099, SK214, SK003, SK145, SK110",7,Yes,Cyber Security,ROLE031,Intermediate,Intermediate,Basic,2,Cloud Engineer
STU0023,Civil,4,9.37,"SK130, SK055, SK148, SK146, SK026",3,Yes,DevOps,ROLE016,Beginner,Intermediate,Fluent,2,Cloud Engineer
STU0024,ECE,3,7.54,"SK138, SK166, SK115, SK189, SK109",4,No,Mobile,ROLE051,Beginner,Beginner,Intermediate,5,Data Scientist
STU0025,Mechanical,1,7.57,"SK241, SK036, SK261, SK210, SK120",1,No,Mobile,ROLE050,Intermediate,Beginner,Fluent,4,Cyber Security Analyst
STU0026,EEE,1,9.04,"SK234, SK030, SK048, SK278, SK277",8,Yes,Mobile,ROLE034,Beginner,Advanced,Intermediate,5,AI Engineer
STU0027,Mechanical,3,7.01,"SK092, SK123, SK054, SK240, SK001",8,No,Mobile,ROLE054,Advanced,Intermediate,Intermediate,3,Cyber Security Analyst
STU0028,CSE,4,7.51,"SK164, SK251, SK248, SK153, SK143",2,Yes,DevOps,ROLE027,Advanced,Intermediate,Intermediate,1,Software Engineer
STU0029,CSE,4,8.54,"SK275, SK210, SK248, SK265, SK188",6,No,Cyber Security,ROLE016,Advanced,Beginner,Fluent,1,Cyber Security Analyst
