role_id, role_name                 , role_family         , description                                                                                                                                                                                                                                                                              , difficulty_level, average_learning_time, entry_level, salary_range, future_scope, required_degree       , work_mode    , roadmap_available
ROLE001, Data Scientist            , Data                , Extracts actionable insights from complex datasets using advanced statistical methods and machine learning algorithms. Builds predictive models to solve critical business problems and collaborates with stakeholders to drive data-driven decision-making across enterprise operations., Advanced        , 12 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE002, Machine Learning Engineer , AI                  , "Designs and deploys scalable machine learning systems and production-grade AI pipelines. Optimizes algorithms for performance, integrates models into existing software architectures, and monitors model drift in enterprise deployment environments."                                 , Advanced        , 12 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE003, AI Engineer               , AI                  , "Develops cutting-edge artificial intelligence applications leveraging pre-trained models, APIs, and custom neural networks. Integrates intelligence into existing software products to automate workflows and enhance user interaction experiences."                                    , Intermediate    , 8 Months             , Yes        , ₹6-10 LPA   , Very High   , B.Tech Any Branch     , Remote/Hybrid, Yes
ROLE004, Data Analyst              , Data                , "Collects, processes, and analyzes large volumes of structured data to identify business trends. Creates comprehensive visual dashboards and delivers actionable reports to executive leadership for strategic planning."                                                                , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , BCA                   , Hybrid       , Yes
ROLE005, Business Analyst          , Business            , "Bridges the gap between IT and business objectives by analyzing processes, gathering requirements, and defining functional specifications. Facilitates communication between stakeholders to optimize operational workflows."                                                           , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , B.Tech Any Branch     , Hybrid       , Yes
ROLE006, Backend Developer         , Software Development, "Builds and maintains robust server-side logic, database architectures, and high-performance APIs. Ensures seamless data integration between front-end interfaces and back-end services while optimizing application security and scalability."                                          , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech CSE            , Remote/Hybrid, Yes
ROLE007, Frontend Developer        , Software Development, "Crafts responsive, interactive, and visually appealing user interfaces using modern web frameworks. Optimizes web applications for maximum speed, cross-browser compatibility, and exceptional user experience across all devices."                                                     , Beginner        , 4 Months             , Yes        , ₹4-6 LPA    , High        , B.Tech Any Branch     , Remote/Hybrid, Yes
ROLE008, Full Stack Developer      , Software Development, Designs and develops both client-side and server-side components of web applications. Manages end-to-end software development life cycles from database design to UI implementation and deployment.                                                                                      , Intermediate    , 8 Months             , Yes        , ₹5-8 LPA    , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE009, Software Engineer         , Software Development, "Writes clean, scalable, and maintainable code for various enterprise software applications. Participates in architectural design reviews, code optimization, and rigorous automated testing protocols."                                                                                 , Beginner        , 6 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech CSE            , Hybrid       , Yes
ROLE010, DevOps Engineer           , DevOps              , "Automates software delivery pipelines, manages cloud infrastructure, and implements continuous integration and deployment strategies. Enhances system reliability, deployment velocity, and infrastructure scalability using modern tools."                                             , Intermediate    , 8 Months             , Yes        , ₹6-10 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE011, Cloud Engineer            , Cloud Computing     , "Architects, migrates, and manages enterprise workloads across various cloud platforms. Ensures cloud infrastructure security, high availability, and optimal cost-to-performance ratios for applications."                                                                              , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE012, Cyber Security Analyst    , Cyber Security      , "Monitors organizational networks for security breaches, investigates anomalies, and implements robust protective defense measures. Conducts vulnerability assessments and responds swiftly to emerging cyber threats."                                                                  , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , Very High   , B.Tech CSE            , Onsite       , Yes
ROLE013, Security Engineer         , Cyber Security      , "Designs secure network solutions, implements encryption protocols, and hardens systems against malicious intrusions. Evaluates architectural security risks and establishes comprehensive enterprise security frameworks."                                                              , Advanced        , 10 Months            , No         , ₹8-12 LPA   , Very High   , B.Tech CSE            , Hybrid       , Yes
ROLE014, Ethical Hacker            , Cyber Security      , Simulates cyber attacks against enterprise networks and applications to identify exploitable vulnerabilities before malicious actors do. Provides detailed remediation strategies to fortify organizational defenses.                                                                    , Advanced        , 8 Months             , No         , ₹6-10 LPA   , Very High   , B.Tech CSE            , Remote/Hybrid, Yes
ROLE015, Android Developer         , Mobile Development  , "Designs and builds native Android applications using modern languages and frameworks. Ensures high performance, smooth animations, and seamless integration with backend API services."                                                                                                 , Intermediate    , 6 Months             , Yes        , ₹4-6 LPA    , High        , B.Tech Any Branch     , Hybrid       , Yes
ROLE016, iOS Developer             , Mobile Development  , "Develops high-quality native mobile applications for Apple platforms using Swift and SwiftUI. Optimizes application memory usage, battery efficiency, and adheres strictly to Apple design guidelines."                                                                                 , Intermediate    , 6 Months             , Yes        , ₹5-8 LPA    , High        , B.Tech Any Branch     , Hybrid       , Yes
