question_id,role_id,skill_id,question,difficulty,question_type,expected_answer,keywords,company_level
Q00001,ROLE001,SK009,Explain the fundamentals of skill SK009 for ROLE001.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK009.","SK009, fundamentals, implementation, best practices",Mid-size
Q00002,ROLE001,SK010,Explain the fundamentals of skill SK010 for ROLE001.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK010.","SK010, fundamentals, implementation, best practices",MNC
Q00003,ROLE001,SK011,Explain the fundamentals of skill SK011 for ROLE001.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK011.","SK011, fundamentals, implementation, best practices",FAANG
Q00004,ROLE001,SK012,Explain the fundamentals of skill SK012 for ROLE001.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK012.","SK012, fundamentals, implementation, best practices",Startup
Q00005,ROLE001,SK013,Explain the fundamentals of skill SK013 for ROLE001.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK013.","SK013, fundamentals, implementation, best practices",Mid-size
Q00006,ROLE001,SK014,Explain the fundamentals of skill SK014 for ROLE001.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK014.","SK014, fundamentals, implementation, best practices",MNC
Q00007,ROLE001,SK015,Explain the fundamentals of skill SK015 for ROLE001.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK015.","SK015, fundamentals, implementation, best practices",FAANG
Q00008,ROLE001,SK016,Explain the fundamentals of skill SK016 for ROLE001.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK016.","SK016, fundamentals, implementation, best practices",Startup
Q00009,ROLE001,SK017,Explain the fundamentals of skill SK017 for ROLE001.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK017.","SK017, fundamentals, implementation, best practices",Mid-size
Q00010,ROLE001,SK018,Explain the fundamentals of skill SK018 for ROLE001.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK018.","SK018, fundamentals, implementation, best practices",MNC
Q00011,ROLE001,SK019,Explain the fundamentals of skill SK019 for ROLE001.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK019.","SK019, fundamentals, implementation, best practices",FAANG
Q00012,ROLE001,SK020,Explain the fundamentals of skill SK020 for ROLE001.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK020.","SK020, fundamentals, implementation, best practices",Startup
Q00013,ROLE001,SK021,Explain the fundamentals of skill SK021 for ROLE001.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK021.","SK021, fundamentals, implementation, best practices",Mid-size
Q00014,ROLE001,SK022,Explain the fundamentals of skill SK022 for ROLE001.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK022.","SK022, fundamentals, implementation, best practices",MNC
Q00015,ROLE001,SK023,Explain the fundamentals of skill SK023 for ROLE001.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK023.","SK023, fundamentals, implementation, best practices",FAANG
Q00016,ROLE001,SK024,Explain the fundamentals of skill SK024 for ROLE001.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK024.","SK024, fundamentals, implementation, best practices",Startup
Q00017,ROLE001,SK025,Explain the fundamentals of skill SK025 for ROLE001.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK025.","SK025, fundamentals, implementation, best practices",Mid-size
Q00018,ROLE001,SK026,Explain the fundamentals of skill SK026 for ROLE001.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK026.","SK026, fundamentals, implementation, best practices",MNC
Q00019,ROLE001,SK027,Explain the fundamentals of skill SK027 for ROLE001.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK027.","SK027, fundamentals, implementation, best practices",FAANG
Q00020,ROLE001,SK028,Explain the fundamentals of skill SK028 for ROLE001.,Advanced,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK028.","SK028, fundamentals, implementation, best practices",Startup
Q00021,ROLE001,SK029,Explain the fundamentals of skill SK029 for ROLE001.,Beginner,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK029.","SK029, fundamentals, implementation, best practices",Mid-size
Q00022,ROLE001,SK030,Explain the fundamentals of skill SK030 for ROLE001.,Intermediate,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK030.","SK030, fundamentals, implementation, best practices",MNC
Q00023,ROLE001,SK031,Explain the fundamentals of skill SK031 for ROLE001.,Advanced,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK031.","SK031, fundamentals, implementation, best practices",FAANG
Q00024,ROLE001,SK032,Explain the fundamentals of skill SK032 for ROLE001.,Beginner,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK032.","SK032, fundamentals, implementation, best practices",Startup
Q00025,ROLE001,SK033,Explain the fundamentals of skill SK033 for ROLE001.,Intermediate,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK033.","SK033, fundamentals, implementation, best practices",Mid-size
Q00026,ROLE001,SK034,Explain the fundamentals of skill SK034 for ROLE001.,Advanced,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK034.","SK034, fundamentals, implementation, best practices",MNC
Q00027,ROLE001,SK035,Explain the fundamentals of skill SK035 for ROLE001.,Beginner,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK035.","SK035, fundamentals, implementation, best practices",FAANG
Q00028,ROLE001,SK036,Explain the fundamentals of skill SK036 for ROLE001.,Intermediate,Technical,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK036.","SK036, fundamentals, implementation, best practices",Startup
Q00029,ROLE001,SK037,Explain the fundamentals of skill SK037 for ROLE001.,Advanced,Coding,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK037.","SK037, fundamentals, implementation, best practices",Mid-size
Q00030,ROLE001,SK038,Explain the fundamentals of skill SK038 for ROLE001.,Beginner,HR,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK038.","SK038, fundamentals, implementation, best practices",MNC
Q00031,ROLE001,SK039,Explain the fundamentals of skill SK039 for ROLE001.,Intermediate,Scenario,"Candidate should explain concepts, practical applications, advantages, limitations, and industry use cases of SK039.","SK039, fundamentals, implementation, best practices",FAANG
