soft_skill_id,skill_name,category,description,importance,recommended_roles,assessment_method,improvement_resources,practice_activity,industry_relevance
SS001,Communication,Interpersonal,Communication helps professionals collaborate effectively and succeed in modern workplaces.,High,DevOps Engineer;AI Engineer;Cloud Engineer,Peer Feedback,Toastmasters;NPTEL,Team project,Essential
SS002,Teamwork,Collaboration,Teamwork helps professionals collaborate effectively and succeed in modern workplaces.,Medium,Full Stack Developer;Data Scientist;Business Analyst,Peer Feedback,Coursera;Toastmasters,Group discussion,Very High
SS003,Leadership,Leadership,Leadership helps professionals collaborate effectively and succeed in modern workplaces.,High,Business Analyst;Full Stack Developer;Cybersecurity Analyst,Manager Evaluation,YouTube;Toastmasters,Case study,High
SS004,Problem Solving,Cognitive,Problem Solving helps professionals collaborate effectively and succeed in modern workplaces.,Critical,Cybersecurity Analyst;Software Engineer;Cloud Engineer,Manager Evaluation,NPTEL;Toastmasters,Team project,High
SS005,Critical Thinking,Cognitive,Critical Thinking helps professionals collaborate effectively and succeed in modern workplaces.,Medium,Cloud Engineer;Full Stack Developer;AI Engineer,Manager Evaluation,NPTEL;YouTube,Hackathon,High
SS006,Time Management,Productivity,Time Management helps professionals collaborate effectively and succeed in modern workplaces.,High,AI Engineer;DevOps Engineer;Software Engineer,Peer Feedback,Toastmasters;YouTube,Hackathon,Essential
SS007,Adaptability,Professional,Adaptability helps professionals collaborate effectively and succeed in modern workplaces.,Critical,Software Engineer;Full Stack Developer;Business Analyst,Self Assessment,Udemy;Coursera,Team project,High
SS008,Creativity,Innovation,Creativity helps professionals collaborate effectively and succeed in modern workplaces.,Medium,Full Stack Developer;AI Engineer;Cybersecurity Analyst,Mock Interview,Toastmasters;YouTube,Role play,Very High
SS009,Decision Making,Leadership,Decision Making helps professionals collaborate effectively and succeed in modern workplaces.,High,Cybersecurity Analyst;Full Stack Developer;Software Engineer,Self Assessment,Toastmasters;Udemy,Hackathon,Essential
SS010,Emotional Intelligence,Interpersonal,Emotional Intelligence helps professionals collaborate effectively and succeed in modern workplaces.,High,Software Engineer;Full Stack Developer;Data Scientist,Manager Evaluation,Toastmasters;NPTEL,Presentation practice,High
SS011,Presentation Skills,Communication,Presentation Skills helps professionals collaborate effectively and succeed in modern workplaces.,Medium,AI Engineer;Full Stack Developer;Business Analyst,Mock Interview,Coursera;YouTube,Case study,High
SS012,Negotiation,Business,Negotiation helps professionals collaborate effectively and succeed in modern workplaces.,Medium,DevOps Engineer;Data Scientist;Cloud Engineer,Behavioral Interview,Toastmasters;LinkedIn Learning,Presentation practice,High
