ALL UNIVERSITIES,,,,,,
(As on Date:  23-7-2026  17:1:7),,,,,,
Aishe Code,Name,State,District,Website,Year Of Establishment,Location
U-0096,"All India Institute of Medical Sciences, New Delhi",Delhi,South,aiims.edu,1956,Urban
U-0115,Central Sanskrit University,Delhi,West,www.sanskrit.nic.in/,1970,Urban
U-0853,DELHI PHARMACEUTICAL SCIENCES AND RESEARCH UNIVERSITY,Delhi,South,www.dpsru.edu.in,2015,Urban
U-1146,Delhi Skill and Entrepreneurship University,Delhi,South West,www.dseu.ac.in,2020,Urban
U-1312,Delhi Teachers University,Delhi,North West,https://delhiteachersuniversity.edu.in,-,Urban
U-0098,Delhi Technological University,Delhi,North West,www.dtu.ac.in,1941,Urban
U-0097,Dr. B. R. Ambedkar University Delhi,Delhi,North,www.aud.ac.in,2008,Urban
U-0099,Guru Gobind Singh Indraprastha University,Delhi,West,www.ipu.ac.in,1998,Urban
U-0101,Indian Agricultural Research Institute (KRISHI PUSHA) New Delhi.,Delhi,New Delhi,www.iari.res.in,1905,Urban
U-0102,"Indian Institute of Foreign Trade, Delhi",Delhi,New Delhi,www.iift.edu,1963,Urban
U-1340,"INDIAN INSTITUTE OF MASS COMMUNICATION, NEW DELHI",Delhi,New Delhi,www.iimc.gov.in,-,Urban
U-0100,"Indian Institute of Technology, Delhi",Delhi,South,www.iitd.ac.in,1961,Urban
U-0103,"Indian Law Institute, Bhagwandas Road, New Delhi",Delhi,New Delhi,www.ili.ac.in,1956,Urban
U-0685,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Delhi,Central,www.igdtuw.ac.in,2013,Urban
U-0104,Indira Gandhi National Open University,Delhi,South,www.ignou.ac.in,1985,Urban
U-0105,"Indraprastha Institute of Information Technology, Delhi",Delhi,South,www.iiitd.ac.in,2008,Urban
U-0106,"Institute of Liver and Bilary Sciences, New Delhi",Delhi,South,www.ilbs.in,2002,Urban
U-0107,Jamia Hamdard,Delhi,South,www.jamiahamdard.ac.in,1906,Urban
U-0108,Jamia Millia Islamia University,Delhi,South East,https://jmi.ac.in,1920,Urban
U-0109,Jawaharlal Nehru University,Delhi,South,www.jnu.ac.in,1969,Urban
U-1187,National Forensic Sciences University,Delhi,North West,nfsu.ac.in,1972,Urban
U-0114,National Institute of Educational Planning & Administration,Delhi,South,www.niepa.ac.in,1962,Urban
U-0110,"National Institute of Fashion Technology, Hauz Khas",Delhi,South,www.nift.ac.in,1986,Urban
U-0622,National Institute of Technology Delhi,Delhi,North West,www.nitdelhi.ac.in,2010,Urban
U-0111,"National Law University, Delhi",Delhi,South West,www.nludelhi.ac.in,2008,Urban
U-0112,National Museum Institute of History of Art Conservation and Museology,Delhi,New Delhi,www.nmi.gov.in,1989,Urban
U-1056,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY,Delhi,South West,http://www.nsut.ac.in,1983,Urban
U-0116,"School of Planning & Architecture, New Delhi",Delhi,Central,www.spa.ac.in,1955,Urban
U-0117,Shri Lal Bahadur Shastri National Sanskrit University,Delhi,South,https://www.slbsrsv.ac.in,1962,Urban
U-0118,"South Asian University, New Delhi",Delhi,South,https://www.sau.int,2010,Urban
U-0119,"TERI School of Advanced Studies, New Delhi",Delhi,New Delhi,www.terisas.ac.in,1998,Urban
U-0120,University of Delhi,Delhi,North,www.du.ac.in,1922,Urban
