mapping_id,role_id,skill_id,importance,minimum_proficiency,mandatory,recommended_learning_order
MAP0001,ROLE001,SK001,High,Intermediate,Yes,1
MAP0002,ROLE001,SK002,High,Intermediate,Yes,2
MAP0003,ROLE001,SK003,High,Intermediate,Yes,3
MAP0004,ROLE001,SK004,High,Intermediate,Yes,4
MAP0005,ROLE001,SK005,High,Intermediate,Yes,5
MAP0006,ROLE001,SK006,Medium,Beginner,Yes,6
MAP0007,ROLE001,SK007,Medium,Beginner,Yes,7
MAP0008,ROLE001,SK008,Medium,Beginner,Yes,8
MAP0009,ROLE001,SK009,Medium,Beginner,Yes,9
MAP0010,ROLE001,SK010,Medium,Beginner,Yes,10
MAP0011,ROLE001,SK011,Medium,Beginner,Yes,11
MAP0012,ROLE001,SK012,Medium,Beginner,Yes,12
MAP0013,ROLE001,SK013,Medium,Beginner,Yes,13
MAP0014,ROLE001,SK014,Medium,Beginner,Yes,14
MAP0015,ROLE001,SK015,Medium,Beginner,Yes,15
MAP0016,ROLE001,SK016,Low,Beginner,No,16
MAP0017,ROLE001,SK017,Low,Beginner,No,17
MAP0018,ROLE001,SK018,Low,Beginner,No,18
MAP0019,ROLE001,SK019,Low,Beginner,No,19
MAP0020,ROLE001,SK020,Low,Beginner,No,20
MAP0021,ROLE001,SK021,Low,Beginner,No,21
MAP0022,ROLE001,SK022,Low,Beginner,No,22
MAP0023,ROLE001,SK023,Low,Beginner,No,23
MAP0024,ROLE001,SK024,Low,Beginner,No,24
MAP0025,ROLE001,SK025,Low,Beginner,No,25
MAP0026,ROLE002,SK024,High,Intermediate,Yes,1
MAP0027,ROLE002,SK025,High,Intermediate,Yes,2
MAP0028,ROLE002,SK026,High,Intermediate,Yes,3
MAP0029,ROLE002,SK027,High,Intermediate,Yes,4
MAP0030,ROLE002,SK028,High,Intermediate,Yes,5
MAP0031,ROLE002,SK029,Medium,Beginner,Yes,6
MAP0032,ROLE002,SK030,Medium,Beginner,Yes,7
MAP0033,ROLE002,SK031,Medium,Beginner,Yes,8
MAP0034,ROLE002,SK032,Medium,Beginner,Yes,9
MAP0035,ROLE002,SK033,Medium,Beginner,Yes,10
MAP0036,ROLE002,SK034,Medium,Beginner,Yes,11
MAP0037,ROLE002,SK035,Medium,Beginner,Yes,12
MAP0038,ROLE002,SK036,Medium,Beginner,Yes,13
MAP0039,ROLE002,SK037,Medium,Beginner,Yes,14
MAP0040,ROLE002,SK038,Medium,Beginner,Yes,15
MAP0041,ROLE002,SK039,Low,Beginner,No,16
MAP0042,ROLE002,SK040,Low,Beginner,No,17
MAP0043,ROLE002,SK041,Low,Beginner,No,18
MAP0044,ROLE002,SK042,Low,Beginner,No,19
MAP0045,ROLE002,SK043,Low,Beginner,No,20
MAP0046,ROLE002,SK044,Low,Beginner,No,21
MAP0047,ROLE002,SK045,Low,Beginner,No,22
MAP0048,ROLE002,SK046,Low,Beginner,No,23
MAP0049,ROLE002,SK047,Low,Beginner,No,24
MAP0050,ROLE002,SK048,Low,Beginner,No,25
MAP0051,ROLE003,SK047,High,Intermediate,Yes,1
MAP0052,ROLE003,SK048,High,Intermediate,Yes,2
MAP0053,ROLE003,SK049,High,Intermediate,Yes,3
MAP0054,ROLE003,SK050,High,Intermediate,Yes,4
MAP0055,ROLE003,SK051,High,Intermediate,Yes,5
MAP0056,ROLE003,SK052,Medium,Beginner,Yes,6
MAP0057,ROLE003,SK053,Medium,Beginner,Yes,7
MAP0058,ROLE003,SK054,Medium,Beginner,Yes,8
MAP0059,ROLE003,SK055,Medium,Beginner,Yes,9
MAP0060,ROLE003,SK056,Medium,Beginner,Yes,10
MAP0061,ROLE003,SK057,Medium,Beginner,Yes,11
MAP0062,ROLE003,SK058,Medium,Beginner,Yes,12
MAP0063,ROLE003,SK059,Medium,Beginner,Yes,13
MAP0064,ROLE003,SK060,Medium,Beginner,Yes,14
MAP0065,ROLE003,SK061,Medium,Beginner,Yes,15
MAP0066,ROLE003,SK062,Low,Beginner,No,16
MAP0067,ROLE003,SK063,Low,Beginner,No,17
MAP0068,ROLE003,SK064,Low,Beginner,No,18
MAP0069,ROLE003,SK065,Low,Beginner,No,19
MAP0070,ROLE003,SK066,Low,Beginner,No,20
MAP0071,ROLE003,SK067,Low,Beginner,No,21
MAP0072,ROLE003,SK068,Low,Beginner,No,22
MAP0073,ROLE003,SK069,Low,Beginner,No,23
MAP0074,ROLE003,SK070,Low,Beginner,No,24
MAP0075,ROLE003,SK071,Low,Beginner,No,25
MAP0076,ROLE004,SK070,High,Intermediate,Yes,1
MAP0077,ROLE004,SK071,High,Intermediate,Yes,2
MAP0078,ROLE004,SK072,High,Intermediate,Yes,3
MAP0079,ROLE004,SK073,High,Intermediate,Yes,4
MAP0080,ROLE004,SK074,High,Intermediate,Yes,5
MAP0081,ROLE004,SK075,Medium,Beginner,Yes,6
MAP0082,ROLE004,SK076,Medium,Beginner,Yes,7
MAP0083,ROLE004,SK077,Medium,Beginner,Yes,8
MAP0084,ROLE004,SK078,Medium,Beginner,Yes,9
MAP0085,ROLE004,SK079,Medium,Beginner,Yes,10
MAP0086,ROLE004,SK080,Medium,Beginner,Yes,11
MAP0087,ROLE004,SK081,Medium,Beginner,Yes,12
MAP0088,ROLE004,SK082,Medium,Beginner,Yes,13
MAP0089,ROLE004,SK083,Medium,Beginner,Yes,14
MAP0090,ROLE004,SK084,Medium,Beginner,Yes,15
MAP0091,ROLE004,SK085,Low,Beginner,No,16
MAP0092,ROLE004,SK086,Low,Beginner,No,17
MAP0093,ROLE004,SK087,Low,Beginner,No,18
MAP0094,ROLE004,SK088,Low,Beginner,No,19
MAP0095,ROLE004,SK089,Low,Beginner,No,20
MAP0096,ROLE004,SK090,Low,Beginner,No,21
MAP0097,ROLE004,SK091,Low,Beginner,No,22
MAP0098,ROLE004,SK092,Low,Beginner,No,23
MAP0099,ROLE004,SK093,Low,Beginner,No,24
MAP0100,ROLE004,SK094,Low,Beginner,No,25
MAP0101,ROLE005,SK093,High,Intermediate,Yes,1
MAP0102,ROLE005,SK094,High,Intermediate,Yes,2
MAP0103,ROLE005,SK095,High,Intermediate,Yes,3
MAP0104,ROLE005,SK096,High,Intermediate,Yes,4
MAP0105,ROLE005,SK097,High,Intermediate,Yes,5
MAP0106,ROLE005,SK098,Medium,Beginner,Yes,6
MAP0107,ROLE005,SK099,Medium,Beginner,Yes,7
MAP0108,ROLE005,SK100,Medium,Beginner,Yes,8
MAP0109,ROLE005,SK101,Medium,Beginner,Yes,9
MAP0110,ROLE005,SK102,Medium,Beginner,Yes,10
MAP0111,ROLE005,SK103,Medium,Beginner,Yes,11
