checklist_id,role_id,role_name,section,item,importance,description,common_mistakes,ats_required,fresher_required,experienced_required,example
RC001,ROLE012,Cyber Security Analyst,Contact Information,Professional email,Medium,Ensure the resume includes professional email tailored for DevOps Engineer positions.,Too generic,Yes,Yes,No,Strong professional email with measurable impact.
RC002,ROLE013,Security Engineer,Contact Information,Professional email,Critical,Ensure the resume includes professional email tailored for ML Engineer positions.,Poor formatting,No,Yes,No,Strong professional email with measurable impact.
RC003,ROLE058,Data Governance Analyst,Contact Information,Professional email,Medium,Ensure the resume includes professional email tailored for Business Analyst positions.,Outdated information,Yes,Yes,Yes,Strong professional email with measurable impact.
RC004,ROLE049,Salesforce Developer,Contact Information,Professional email,Medium,Ensure the resume includes professional email tailored for ML Engineer positions.,Too generic,Yes,Yes,No,Strong professional email with measurable impact.
RC005,ROLE036,Prompt Engineer,Contact Information,Professional email,Critical,Ensure the resume includes professional email tailored for Data Scientist positions.,Too generic,Yes,Yes,Yes,Strong professional email with measurable impact.
RC006,ROLE024,Robotics Engineer,Contact Information,Professional email,Critical,Ensure the resume includes professional email tailored for ML Engineer positions.,Poor formatting,Yes,Yes,Yes,Strong professional email with measurable impact.
RC007,ROLE041,SAP Consultant,Contact Information,Professional email,Critical,Ensure the resume includes professional email tailored for Backend Developer positions.,Too generic,Yes,Yes,Yes,Strong professional email with measurable impact.
RC008,ROLE056,Scrum Master,Contact Information,Professional email,Critical,Ensure the resume includes professional email tailored for Backend Developer positions.,Too generic,Yes,Yes,No,Strong professional email with measurable impact.
RC009,ROLE047,Penetration Tester,Contact Information,Phone number,High,Ensure the resume includes phone number tailored for Software Engineer positions.,Outdated information,No,Yes,No,Strong phone number with measurable impact.
RC010,ROLE010,DevOps Engineer,Contact Information,Phone number,Critical,Ensure the resume includes phone number tailored for Cybersecurity Analyst positions.,Poor formatting,No,Yes,Yes,Strong phone number with measurable impact.
RC011,ROLE059,Platform Engineer,Contact Information,Phone number,High,Ensure the resume includes phone number tailored for ML Engineer positions.,Outdated information,No,Yes,Yes,Strong phone number with measurable impact.
RC012,ROLE060,Web Developer,Contact Information,Phone number,Medium,Ensure the resume includes phone number tailored for Business Analyst positions.,Missing details,No,Yes,No,Strong phone number with measurable impact.
RC013,ROLE035,BI Developer,Contact Information,Phone number,Critical,Ensure the resume includes phone number tailored for DevOps Engineer positions.,Missing details,No,Yes,No,Strong phone number with measurable impact.
RC014,ROLE035,BI Developer,Contact Information,Phone number,High,Ensure the resume includes phone number tailored for Full Stack Developer positions.,Poor formatting,Yes,Yes,Yes,Strong phone number with measurable impact.
RC015,ROLE032,Site Reliability Engineer,Contact Information,Phone number,Critical,Ensure the resume includes phone number tailored for Data Scientist positions.,Missing details,No,Yes,Yes,Strong phone number with measurable impact.
RC016,ROLE023,Embedded Systems Engineer,Contact Information,Phone number,Medium,Ensure the resume includes phone number tailored for Full Stack Developer positions.,Missing details,Yes,Yes,No,Strong phone number with measurable impact.
RC017,ROLE004,Data Analyst,Professional Summary,Career objective,Medium,Ensure the resume includes career objective tailored for ML Engineer positions.,Outdated information,Yes,Yes,Yes,Strong career objective with measurable impact.
RC018,ROLE039,Computer Vision Engineer,Professional Summary,Career objective,High,Ensure the resume includes career objective tailored for ML Engineer positions.,Outdated information,No,Yes,Yes,Strong career objective with measurable impact.
