mapping_id,branch_name,branch_code,role_id,role_name,priority,recommended,bridge_skills,higher_studies_option,career_path,industry,notes
BRM001,Information Technology,IT,ROLE027,UI/UX Designer,Medium,Yes,Git;DSA;AWS;Java,M.Tech,Specialist,E-commerce,Suitable based on curriculum alignment.
BRM002,Electronics and Communication,ECE,ROLE038,NLP Engineer,Low,Yes,Machine Learning;Git;Java;Networking,MS,Entry Level,IT,Suitable based on curriculum alignment.
BRM003,Data Science,DS,ROLE040,AR/VR Developer,Low,Yes,Networking;DSA;Machine Learning;AWS,MBA,Architect,Manufacturing,Suitable based on curriculum alignment.
BRM004,Data Science,DS,ROLE041,SAP Consultant,Low,Yes,Networking;DSA;Linux;Python,None,Entry Level,Telecom,Suitable based on curriculum alignment.
BRM005,Mechanical Engineering,ME,ROLE048,CRM Developer,Medium,Yes,Git;SQL;AWS;Python,None,Specialist,E-commerce,Suitable based on curriculum alignment.
BRM006,Computer Science and Engineering,CSE,ROLE040,AR/VR Developer,Low,Yes,Java;Git;Machine Learning;Linux,MBA,Specialist,Finance,Suitable based on curriculum alignment.
BRM007,Electrical Engineering,EE,ROLE045,Technical Writer,Low,Yes,Git;AWS;Networking;Linux,M.Tech,Technical Lead,Healthcare,Suitable based on curriculum alignment.
BRM008,Computer Science and Engineering,CSE,ROLE006,Backend Developer,Low,No,SQL;Machine Learning;DSA;Linux,MBA,Entry Level,Finance,Suitable based on curriculum alignment.
BRM009,Data Science,DS,ROLE024,Robotics Engineer,Low,No,Java;Machine Learning;Networking;Git,None,Specialist,IT,Suitable based on curriculum alignment.
BRM010,Mechanical Engineering,ME,ROLE060,Web Developer,High,No,Networking;Python;DSA;SQL,None,Technical Lead,Healthcare,Suitable based on curriculum alignment.
BRM011,Computer Science and Engineering,CSE,ROLE005,Business Analyst,Medium,Yes,Git;Machine Learning;DSA;Java,None,Technical Lead,IT,Suitable based on curriculum alignment.
BRM012,Information Technology,IT,ROLE025,UI Designer,Medium,Yes,SQL;Networking;Linux;Python,MS,Technical Lead,E-commerce,Suitable based on curriculum alignment.
BRM013,Information Technology,IT,ROLE026,UX Designer,Low,No,DSA;Git;Java;AWS,None,Entry Level,E-commerce,Suitable based on curriculum alignment.
BRM014,Mechanical Engineering,ME,ROLE027,UI/UX Designer,Medium,Yes,Python;DSA;AWS;SQL,None,Entry Level,IT,Suitable based on curriculum alignment.
BRM015,Computer Science and Engineering,CSE,ROLE054,Storage Engineer,Low,Yes,Networking;AWS;SQL;Java,MS,Architect,Finance,Suitable based on curriculum alignment.
BRM016,Electrical Engineering,EE,ROLE004,Data Analyst,Medium,Yes,Machine Learning;Git;AWS;Java,MS,Entry Level,Healthcare,Suitable based on curriculum alignment.
BRM017,Computer Science and Engineering,CSE,ROLE020,Game Developer,Medium,Yes,Git;Machine Learning;AWS;Networking,None,Architect,Healthcare,Suitable based on curriculum alignment.
BRM018,Mechanical Engineering,ME,ROLE035,BI Developer,Low,Yes,Java;Machine Learning;Networking;Python,None,Specialist,Telecom,Suitable based on curriculum alignment.
BRM019,Data Science,DS,ROLE056,Scrum Master,Low,No,Networking;AWS;Git;Python,None,Specialist,Healthcare,Suitable based on curriculum alignment.
BRM020,Data Science,DS,ROLE005,Business Analyst,Medium,No,SQL;Java;Networking;Linux,MS,Entry Level,IT,Suitable based on curriculum alignment.
BRM021,Electronics and Communication,ECE,ROLE025,UI Designer,High,Yes,Git;Machine Learning;Python;SQL,MS,Specialist,E-commerce,Suitable based on curriculum alignment.
BRM022,Electrical Engineering,EE,ROLE022,IoT Engineer,Low,No,Python;DSA;Linux;Java,M.Tech,Entry Level,Healthcare,Suitable based on curriculum alignment.
BRM023,Information Technology,IT,ROLE046,Cloud Security Engineer,High,No,Java;DSA;Networking;SQL,MBA,Architect,E-commerce,Suitable based on curriculum alignment.
BRM024,Information Technology,IT,ROLE015,Android Developer,Low,No,Networking;Linux;Git;AWS,M.Tech,Technical Lead,Telecom,Suitable based on curriculum alignment.
BRM025,Computer Science and Engineering,CSE,ROLE056,Scrum Master,High,Yes,Networking;SQL;Machine Learning;Java,MBA,Entry Level,IT,Suitable based on curriculum alignment.
BRM026,Data Science,DS,ROLE039,Computer Vision Engineer,Medium,No,Java;Git;AWS;Machine Learning,MS,Entry Level,Healthcare,Suitable based on curriculum alignment.
BRM027,Electronics and Communication,ECE,ROLE024,Robotics Engineer,Medium,Yes,DSA;Python;Linux;SQL,MBA,Specialist,Manufacturing,Suitable based on curriculum alignment.
BRM028,Electronics and Communication,ECE,ROLE001,Data Scientist,Medium,No,Java;SQL;Git;AWS,None,Technical Lead,Finance,Suitable based on curriculum alignment.
BRM029,Electronics and Communication,ECE,ROLE048,CRM Developer,Low,No,AWS;Git;Linux;Python,None,Specialist,Healthcare,Suitable based on curriculum alignment.
BRM030,Civil Engineering,CE,ROLE045,Technical Writer,Medium,Yes,Python;Networking;DSA;Java,MBA,Technical Lead,Manufacturing,Suitable based on curriculum alignment.
