skill_id,skill_name,skill_category,skill_type,difficulty_level,estimated_learning_hours,prerequisite_skill,industry_demand,description,certification_available
SK001,Python,Programming,Technical,Beginner,40,None,Very High,Python skill used in programming domain.,Yes
SK002,Java,Programming,Technical,Intermediate,60,None,Very High,Java skill used in programming domain.,Yes
SK003,C,Programming,Technical,Advanced,20,None,Very High,C skill used in programming domain.,Yes
SK004,C++,Programming,Technical,Beginner,40,None,Very High,C++ skill used in programming domain.,Yes
SK005,C#,Programming,Technical,Intermediate,60,C++,Very High,C# skill used in programming domain.,Yes
SK006,JavaScript,Programming,Technical,Advanced,20,C#,Very High,JavaScript skill used in programming domain.,Yes
SK007,TypeScript,Programming,Technical,Beginner,40,JavaScript,Very High,TypeScript skill used in programming domain.,Yes
SK008,Go,Programming,Technical,Intermediate,60,TypeScript,Very High,Go skill used in programming domain.,Yes
SK009,Rust,Programming,Technical,Advanced,20,Go,Very High,Rust skill used in programming domain.,Yes
SK010,PHP,Programming,Technical,Beginner,40,Rust,Very High,PHP skill used in programming domain.,Yes
SK011,Kotlin,Programming,Technical,Intermediate,60,PHP,Very High,Kotlin skill used in programming domain.,Yes
SK012,Swift,Programming,Technical,Advanced,20,Kotlin,Very High,Swift skill used in programming domain.,Yes
SK013,R,Programming,Technical,Beginner,40,Swift,Very High,R skill used in programming domain.,Yes
SK014,MATLAB,Programming,Technical,Intermediate,60,R,Very High,MATLAB skill used in programming domain.,Yes
SK015,Scala,Programming,Technical,Advanced,20,MATLAB,Very High,Scala skill used in programming domain.,Yes
SK016,Dart,Programming,Technical,Beginner,40,Scala,Very High,Dart skill used in programming domain.,Yes
SK017,Ruby,Programming,Technical,Intermediate,60,Dart,Very High,Ruby skill used in programming domain.,Yes
SK018,Perl,Programming,Technical,Advanced,20,Ruby,Very High,Perl skill used in programming domain.,Yes
SK019,Shell Scripting,Programming,Technical,Beginner,40,Perl,Very High,Shell Scripting skill used in programming domain.,Yes
SK020,Bash,Programming,Technical,Intermediate,60,Shell Scripting,Very High,Bash skill used in programming domain.,Yes
SK021,HTML,Web Development,Technical,Advanced,20,Bash,High,HTML skill used in web development domain.,Yes
SK022,CSS,Web Development,Technical,Beginner,40,HTML,High,CSS skill used in web development domain.,Yes
SK023,Bootstrap,Web Development,Technical,Intermediate,60,CSS,High,Bootstrap skill used in web development domain.,Yes
SK024,Tailwind CSS,Web Development,Technical,Advanced,20,Bootstrap,High,Tailwind CSS skill used in web development domain.,Yes
SK025,React,Web Development,Technical,Beginner,40,Tailwind CSS,High,React skill used in web development domain.,Yes
SK026,Angular,Web Development,Technical,Intermediate,60,React,High,Angular skill used in web development domain.,Yes
SK027,Vue.js,Web Development,Technical,Advanced,20,Angular,High,Vue.js skill used in web development domain.,Yes
SK028,Next.js,Web Development,Technical,Beginner,40,Vue.js,High,Next.js skill used in web development domain.,Yes
