roadmap_id,role_id,roadmap_type,week_number,day_range,topic,skill_id,course_id,project_id,milestone,estimated_hours
RM0001,ROLE001,30-Day,1,Day 1-7,Learning Module 1,SK002,COURSE0002,PROJ0002,Complete Week 1 objectives,20
RM0002,ROLE001,30-Day,2,Day 8-14,Learning Module 2,SK003,COURSE0003,PROJ0003,Complete Week 2 objectives,20
RM0003,ROLE001,30-Day,3,Day 15-21,Learning Module 3,SK004,COURSE0004,PROJ0004,Complete Week 3 objectives,20
RM0004,ROLE001,30-Day,4,Day 22-28,Learning Module 4,SK005,COURSE0005,PROJ0005,Complete Week 4 objectives,20
RM0005,ROLE001,60-Day,1,Day 1-7,Learning Module 1,SK002,COURSE0002,PROJ0002,Complete Week 1 objectives,15
RM0006,ROLE001,60-Day,2,Day 8-14,Learning Module 2,SK003,COURSE0003,PROJ0003,Complete Week 2 objectives,15
RM0007,ROLE001,60-Day,3,Day 15-21,Learning Module 3,SK004,COURSE0004,PROJ0004,Complete Week 3 objectives,15
RM0008,ROLE001,60-Day,4,Day 22-28,Learning Module 4,SK005,COURSE0005,PROJ0005,Complete Week 4 objectives,15
RM0009,ROLE001,60-Day,5,Day 29-35,Learning Module 5,SK006,COURSE0006,PROJ0006,Complete Week 5 objectives,15
RM0010,ROLE001,60-Day,6,Day 36-42,Learning Module 6,SK007,COURSE0007,PROJ0007,Complete Week 6 objectives,15
RM0011,ROLE001,60-Day,7,Day 43-49,Learning Module 7,SK008,COURSE0008,PROJ0008,Complete Week 7 objectives,15
RM0012,ROLE001,60-Day,8,Day 50-56,Learning Module 8,SK009,COURSE0009,PROJ0009,Complete Week 8 objectives,15
RM0013,ROLE001,90-Day,1,Day 1-7,Learning Module 1,SK002,COURSE0002,PROJ0002,Complete Week 1 objectives,10
RM0014,ROLE001,90-Day,2,Day 8-14,Learning Module 2,SK003,COURSE0003,PROJ0003,Complete Week 2 objectives,10
RM0015,ROLE001,90-Day,3,Day 15-21,Learning Module 3,SK004,COURSE0004,PROJ0004,Complete Week 3 objectives,10
RM0016,ROLE001,90-Day,4,Day 22-28,Learning Module 4,SK005,COURSE0005,PROJ0005,Complete Week 4 objectives,10
RM0017,ROLE001,90-Day,5,Day 29-35,Learning Module 5,SK006,COURSE0006,PROJ0006,Complete Week 5 objectives,10
RM0018,ROLE001,90-Day,6,Day 36-42,Learning Module 6,SK007,COURSE0007,PROJ0007,Complete Week 6 objectives,10
RM0019,ROLE001,90-Day,7,Day 43-49,Learning Module 7,SK008,COURSE0008,PROJ0008,Complete Week 7 objectives,10
