project_id,project_name,project_domain,difficulty,estimated_duration,description,required_skills,github_available,dataset_required,portfolio_value,related_role
PROJ0001,AI Project 1,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK001, SK006, SK016",Yes,Yes,High,ROLE001
PROJ0002,Data Science Project 2,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK002, SK007, SK017",Yes,Yes,Very High,ROLE002
PROJ0003,Web Development Project 3,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK003, SK008, SK018",Yes,No,Medium,ROLE003
PROJ0004,Cloud Project 4,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK004, SK009, SK019",Yes,No,High,ROLE004
PROJ0005,Cyber Security Project 5,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK005, SK010, SK020",Yes,No,Very High,ROLE005
PROJ0006,Mobile Project 6,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK006, SK011, SK021",Yes,No,Medium,ROLE006
PROJ0007,DevOps Project 7,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK007, SK012, SK022",Yes,No,High,ROLE007
PROJ0008,IoT Project 8,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK008, SK013, SK023",Yes,No,Very High,ROLE008
PROJ0009,Blockchain Project 9,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK009, SK014, SK024",Yes,No,Medium,ROLE009
PROJ0010,UI/UX Project 10,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK010, SK015, SK025",Yes,No,High,ROLE010
PROJ0011,AI Project 11,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK011, SK016, SK026",Yes,Yes,Very High,ROLE011
PROJ0012,Data Science Project 12,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK012, SK017, SK027",Yes,Yes,Medium,ROLE012
PROJ0013,Web Development Project 13,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK013, SK018, SK028",Yes,No,High,ROLE013
PROJ0014,Cloud Project 14,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK014, SK019, SK029",Yes,No,Very High,ROLE014
PROJ0015,Cyber Security Project 15,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK015, SK020, SK030",Yes,No,Medium,ROLE015
PROJ0016,Mobile Project 16,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK016, SK021, SK031",Yes,No,High,ROLE016
PROJ0017,DevOps Project 17,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK017, SK022, SK032",Yes,No,Very High,ROLE017
PROJ0018,IoT Project 18,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK018, SK023, SK033",Yes,No,Medium,ROLE018
PROJ0019,Blockchain Project 19,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK019, SK024, SK034",Yes,No,High,ROLE019
PROJ0020,UI/UX Project 20,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK020, SK025, SK035",Yes,No,Very High,ROLE020
PROJ0021,AI Project 21,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK021, SK026, SK036",Yes,Yes,Medium,ROLE021
PROJ0022,Data Science Project 22,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK022, SK027, SK037",Yes,Yes,High,ROLE022
PROJ0023,Web Development Project 23,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK023, SK028, SK038",Yes,No,Very High,ROLE023
PROJ0024,Cloud Project 24,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK024, SK029, SK039",Yes,No,Medium,ROLE024
PROJ0025,Cyber Security Project 25,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK025, SK030, SK040",Yes,No,High,ROLE025
