resource_id,resource_name,resource_type,platform,topic,difficulty,language,duration,free_paid,skill_id,role_id,url
RES0001,Learning Resource 1,Book,O'Reilly,Skill SK001,Beginner,English,2 Hours,Free,SK001,ROLE001,https://example.com/resource/1
RES0002,Learning Resource 2,YouTube,YouTube,Skill SK002,Intermediate,English,3 Hours,Paid,SK002,ROLE002,https://example.com/resource/2
RES0003,Learning Resource 3,Documentation,MDN,Skill SK003,Advanced,English,4 Hours,Free,SK003,ROLE003,https://example.com/resource/3
RES0004,Learning Resource 4,Blog,Medium,Skill SK004,Beginner,English,5 Hours,Paid,SK004,ROLE004,https://example.com/resource/4
RES0005,Learning Resource 5,GitHub,GitHub,Skill SK005,Intermediate,English,6 Hours,Free,SK005,ROLE005,https://example.com/resource/5
RES0006,Learning Resource 6,Research Paper,arXiv,Skill SK006,Advanced,English,7 Hours,Paid,SK006,ROLE006,https://example.com/resource/6
RES0007,Learning Resource 7,Course,Coursera,Skill SK007,Beginner,English,8 Hours,Free,SK007,ROLE007,https://example.com/resource/7
RES0008,Learning Resource 8,Cheat Sheet,freeCodeCamp,Skill SK008,Intermediate,English,9 Hours,Paid,SK008,ROLE008,https://example.com/resource/8
RES0009,Learning Resource 9,Book,O'Reilly,Skill SK009,Advanced,English,10 Hours,Free,SK009,ROLE009,https://example.com/resource/9
RES0010,Learning Resource 10,YouTube,YouTube,Skill SK010,Beginner,English,11 Hours,Paid,SK010,ROLE010,https://example.com/resource/10
RES0011,Learning Resource 11,Documentation,MDN,Skill SK011,Intermediate,English,12 Hours,Free,SK011,ROLE011,https://example.com/resource/11
RES0012,Learning Resource 12,Blog,Medium,Skill SK012,Advanced,English,13 Hours,Paid,SK012,ROLE012,https://example.com/resource/12
RES0013,Learning Resource 13,GitHub,GitHub,Skill SK013,Beginner,English,14 Hours,Free,SK013,ROLE013,https://example.com/resource/13
RES0014,Learning Resource 14,Research Paper,arXiv,Skill SK014,Intermediate,English,15 Hours,Paid,SK014,ROLE014,https://example.com/resource/14
RES0015,Learning Resource 15,Course,Coursera,Skill SK015,Advanced,English,16 Hours,Free,SK015,ROLE015,https://example.com/resource/15
RES0016,Learning Resource 16,Cheat Sheet,freeCodeCamp,Skill SK016,Beginner,English,17 Hours,Paid,SK016,ROLE016,https://example.com/resource/16
RES0017,Learning Resource 17,Book,O'Reilly,Skill SK017,Intermediate,English,18 Hours,Free,SK017,ROLE017,https://example.com/resource/17
RES0018,Learning Resource 18,YouTube,YouTube,Skill SK018,Advanced,English,19 Hours,Paid,SK018,ROLE018,https://example.com/resource/18
RES0019,Learning Resource 19,Documentation,MDN,Skill SK019,Beginner,English,2 Hours,Free,SK019,ROLE019,https://example.com/resource/19
RES0020,Learning Resource 20,Blog,Medium,Skill SK020,Intermediate,English,3 Hours,Paid,SK020,ROLE020,https://example.com/resource/20
RES0021,Learning Resource 21,GitHub,GitHub,Skill SK021,Advanced,English,4 Hours,Free,SK021,ROLE021,https://example.com/resource/21
RES0022,Learning Resource 22,Research Paper,arXiv,Skill SK022,Beginner,English,5 Hours,Paid,SK022,ROLE022,https://example.com/resource/22
RES0023,Learning Resource 23,Course,Coursera,Skill SK023,Intermediate,English,6 Hours,Free,SK023,ROLE023,https://example.com/resource/23
RES0024,Learning Resource 24,Cheat Sheet,freeCodeCamp,Skill SK024,Advanced,English,7 Hours,Paid,SK024,ROLE024,https://example.com/resource/24
RES0025,Learning Resource 25,Book,O'Reilly,Skill SK025,Beginner,English,8 Hours,Free,SK025,ROLE025,https://example.com/resource/25
RES0026,Learning Resource 26,YouTube,YouTube,Skill SK026,Intermediate,English,9 Hours,Paid,SK026,ROLE026,https://example.com/resource/26
RES0027,Learning Resource 27,Documentation,MDN,Skill SK027,Advanced,English,10 Hours,Free,SK027,ROLE027,https://example.com/resource/27
RES0028,Learning Resource 28,Blog,Medium,Skill SK028,Beginner,English,11 Hours,Paid,SK028,ROLE028,https://example.com/resource/28
RES0029,Learning Resource 29,GitHub,GitHub,Skill SK029,Intermediate,English,12 Hours,Free,SK029,ROLE029,https://example.com/resource/29
RES0030,Learning Resource 30,Research Paper,arXiv,Skill SK030,Advanced,English,13 Hours,Paid,SK030,ROLE030,https://example.com/resource/30
RES0031,Learning Resource 31,Course,Coursera,Skill SK031,Beginner,English,14 Hours,Free,SK031,ROLE031,https://example.com/resource/31
RES0032,Learning Resource 32,Cheat Sheet,freeCodeCamp,Skill SK032,Intermediate,English,15 Hours,Paid,SK032,ROLE032,https://example.com/resource/32
RES0033,Learning Resource 33,Book,O'Reilly,Skill SK033,Advanced,English,16 Hours,Free,SK033,ROLE033,https://example.com/resource/33
RES0034,Learning Resource 34,YouTube,YouTube,Skill SK034,Beginner,English,17 Hours,Paid,SK034,ROLE034,https://example.com/resource/34
RES0035,Learning Resource 35,Documentation,MDN,Skill SK035,Intermediate,English,18 Hours,Free,SK035,ROLE035,https://example.com/resource/35
RES0036,Learning Resource 36,Blog,Medium,Skill SK036,Advanced,English,19 Hours,Paid,SK036,ROLE036,https://example.com/resource/36
RES0037,Learning Resource 37,GitHub,GitHub,Skill SK037,Beginner,English,2 Hours,Free,SK037,ROLE037,https://example.com/resource/37
