college_id,college_name,city,state,top_branch,intake_capacity,placement_rate_percent,average_package_lpa_x10,accreditation,college_type
COL001,Jaipur Institute of Engineering & Technology 1,Jaipur,Rajasthan,Computer Science,383,70,120,AICTE Approved,Government
COL002,Nashik Institute of Engineering & Technology 2,Nashik,Maharashtra,Mechanical,549,93,133,NAAC A+,Private
COL003,Warangal Institute of Engineering & Technology 3,Warangal,Telangana,Electronics & Communication,931,64,121,AICTE Approved,Autonomous
COL004,Prayagraj Institute of Engineering & Technology 4,Prayagraj,Uttar Pradesh,Computer Science,742,95,52,NAAC A,Government
COL005,Jaipur Institute of Engineering & Technology 5,Jaipur,Rajasthan,Electrical,843,61,32,NAAC A++,Private
COL006,Udaipur Institute of Engineering & Technology 6,Udaipur,Rajasthan,Mechanical,525,61,59,NBA,Private
COL007,Bengaluru Institute of Engineering & Technology 7,Bengaluru,Karnataka,Chemical,966,89,103,NAAC A+,Government
COL008,Pune Institute of Engineering & Technology 8,Pune,Maharashtra,Mechanical,943,92,133,NBA,Autonomous
COL009,Noida Institute of Engineering & Technology 9,Noida,Uttar Pradesh,Civil,247,92,113,NAAC A++,Private
COL010,Bhopal Institute of Engineering & Technology 10,Bhopal,Madhya Pradesh,Information Technology,578,66,83,AICTE Approved,Government
COL011,Nagpur Institute of Engineering & Technology 11,Nagpur,Maharashtra,Civil,1002,97,34,AICTE Approved,Government
COL012,Mumbai Institute of Engineering & Technology 12,Mumbai,Maharashtra,Civil,985,98,144,NAAC A+,Autonomous
COL013,Warangal Institute of Engineering & Technology 13,Warangal,Telangana,Computer Science,153,82,62,NBA,Government
COL014,Madurai Institute of Engineering & Technology 14,Madurai,Tamil Nadu,Electrical,546,88,178,NAAC A+,Autonomous
COL015,Coimbatore Institute of Engineering & Technology 15,Coimbatore,Tamil Nadu,Mechanical,147,65,162,NAAC A,Autonomous
COL016,Gwalior Institute of Engineering & Technology 16,Gwalior,Madhya Pradesh,Computer Science,1124,90,160,AICTE Approved,Autonomous
COL017,Lucknow Institute of Engineering & Technology 17,Lucknow,Uttar Pradesh,Mechanical,1100,87,81,NBA,Private
COL018,Hubballi Institute of Engineering & Technology 18,Hubballi,Karnataka,Mechanical,127,68,70,NBA,Private
COL019,Nashik Institute of Engineering & Technology 19,Nashik,Maharashtra,Chemical,1021,79,158,NAAC A,Autonomous
COL020,Kota Institute of Engineering & Technology 20,Kota,Rajasthan,Electronics & Communication,356,64,77,NAAC A,Government
COL021,Nashik Institute of Engineering & Technology 21,Nashik,Maharashtra,Mechanical,653,98,154,NAAC A+,Private
COL022,Jaipur Institute of Engineering & Technology 22,Jaipur,Rajasthan,Electrical,124,80,95,NAAC A,Government
COL023,Prayagraj Institute of Engineering & Technology 23,Prayagraj,Uttar Pradesh,Electrical,231,98,200,NBA,Autonomous
COL024,Madurai Institute of Engineering & Technology 24,Madurai,Tamil Nadu,Electronics & Communication,202,87,51,NAAC A++,Government
COL025,Pune Institute of Engineering & Technology 25,Pune,Maharashtra,Civil,759,65,184,NAAC A,Autonomous
COL026,Madurai Institute of Engineering & Technology 26,Madurai,Tamil Nadu,Electronics & Communication,687,98,36,NAAC A++,Government
COL027,Kanpur Institute of Engineering & Technology 27,Kanpur,Uttar Pradesh,Electrical,241,71,105,NBA,Private
COL028,Hubballi Institute of Engineering & Technology 28,Hubballi,Karnataka,Computer Science,1180,78,166,AICTE Approved,Autonomous
COL029,Lucknow Institute of Engineering & Technology 29,Lucknow,Uttar Pradesh,Information Technology,1138,60,24,AICTE Approved,Private
COL030,Varanasi Institute of Engineering & Technology 30,Varanasi,Uttar Pradesh,Chemical,1162,88,142,AICTE Approved,Autonomous
COL031,Nagpur Institute of Engineering & Technology 31,Nagpur,Maharashtra,Computer Science,558,61,162,NAAC A+,Autonomous
COL032,Lucknow Institute of Engineering & Technology 32,Lucknow,Uttar Pradesh,Civil,649,67,147,AICTE Approved,Autonomous
COL033,Ghaziabad Institute of Engineering & Technology 33,Ghaziabad,Uttar Pradesh,Chemical,765,72,138,NAAC A++,Autonomous
COL034,Kota Institute of Engineering & Technology 34,Kota,Rajasthan,Computer Science,189,76,187,NBA,Autonomous
COL035,Mumbai Institute of Engineering & Technology 35,Mumbai,Maharashtra,Mechanical,268,68,137,AICTE Approved,Private
COL036,Kota Institute of Engineering & Technology 36,Kota,Rajasthan,Electronics & Communication,650,74,128,AICTE Approved,Government
COL037,Hyderabad Institute of Engineering & Technology 37,Hyderabad,Telangana,Information Technology,744,73,151,NAAC A++,Autonomous
COL038,Prayagraj Institute of Engineering & Technology 38,Prayagraj,Uttar Pradesh,Information Technology,430,95,114,AICTE Approved,Autonomous
COL039,Nashik Institute of Engineering & Technology 39,Nashik,Maharashtra,Mechanical,914,75,124,NAAC A,Autonomous
COL040,Madurai Institute of Engineering & Technology 40,Madurai,Tamil Nadu,Electrical,406,55,92,AICTE Approved,Autonomous
COL041,Bhopal Institute of Engineering & Technology 41,Bhopal,Madhya Pradesh,Chemical,764,56,95,NBA,Autonomous
COL042,Udaipur Institute of Engineering & Technology 42,Udaipur,Rajasthan,Mechanical,979,80,89,NAAC A,Autonomous
COL043,Bhopal Institute of Engineering & Technology 43,Bhopal,Madhya Pradesh,Information Technology,1058,96,20,NAAC A+,Private
COL044,Hyderabad Institute of Engineering & Technology 44,Hyderabad,Telangana,Electronics & Communication,838,89,102,NBA,Government
COL045,Mysuru Institute of Engineering & Technology 45,Mysuru,Karnataka,Computer Science,467,87,106,NAAC A+,Private
COL046,Nashik Institute of Engineering & Technology 46,Nashik,Maharashtra,Chemical,749,91,136,AICTE Approved,Government
COL047,Nashik Institute of Engineering & Technology 47,Nashik,Maharashtra,Chemical,650,65,123,NAAC A,Private
COL048,Mumbai Institute of Engineering & Technology 48,Mumbai,Maharashtra,Information Technology,1005,81,31,AICTE Approved,Autonomous
COL049,Mysuru Institute of Engineering & Technology 49,Mysuru,Karnataka,Computer Science,370,68,174,NBA,Government
COL050,Coimbatore Institute of Engineering & Technology 50,Coimbatore,Tamil Nadu,Electronics & Communication,257,58,97,NAAC A,Government
COL051,Mysuru Institute of Engineering & Technology 51,Mysuru,Karnataka,Computer Science,423,56,53,NAAC A+,Autonomous
COL052,Prayagraj Institute of Engineering & Technology 52,Prayagraj,Uttar Pradesh,Electrical,675,95,184,NAAC A,Private
COL053,Hubballi Institute of Engineering & Technology 53,Hubballi,Karnataka,Chemical,1017,90,168,NBA,Private
COL054,Hyderabad Institute of Engineering & Technology 54,Hyderabad,Telangana,Mechanical,578,55,90,NAAC A+,Autonomous
COL055,Ghaziabad Institute of Engineering & Technology 55,Ghaziabad,Uttar Pradesh,Computer Science,625,68,73,NAAC A+,Government
COL056,Chennai Institute of Engineering & Technology 56,Chennai,Tamil Nadu,Mechanical,605,59,85,AICTE Approved,Government
COL057,Mysuru Institute of Engineering & Technology 57,Mysuru,Karnataka,Civil,753,62,75,AICTE Approved,Government
COL058,Madurai Institute of Engineering & Technology 58,Madurai,Tamil Nadu,Civil,1006,70,173,NAAC A,Autonomous
COL059,Mumbai Institute of Engineering & Technology 59,Mumbai,Maharashtra,Electrical,998,79,92,NAAC A,Autonomous
COL060,Mumbai Institute of Engineering & Technology 60,Mumbai,Maharashtra,Information Technology,1101,93,171,NAAC A,Government
COL061,Madurai Institute of Engineering & Technology 61,Madurai,Tamil Nadu,Electronics & Communication,1008,85,118,NAAC A++,Private
COL062,Indore Institute of Engineering & Technology 62,Indore,Madhya Pradesh,Chemical,751,67,93,AICTE Approved,Autonomous
COL063,Hyderabad Institute of Engineering & Technology 63,Hyderabad,Telangana,Mechanical,1092,93,106,NAAC A,Autonomous
COL064,Hyderabad Institute of Engineering & Technology 64,Hyderabad,Telangana,Civil,857,70,193,NAAC A+,Autonomous
COL065,Prayagraj Institute of Engineering & Technology 65,Prayagraj,Uttar Pradesh,Mechanical,597,98,49,NBA,Autonomous
