cert_id,certificate_name,provider,difficulty,duration,exam_fee,validity,skills_covered,recognized_by_industry,related_role
CERT001,Professional Certification 1,Google,Beginner,4 Weeks,₹2000,Lifetime,"SK001, SK007",Yes,ROLE001
CERT002,Professional Certification 2,Microsoft,Intermediate,5 Weeks,₹3000,2 Years,"SK002, SK008",Yes,ROLE002
CERT003,Professional Certification 3,AWS,Advanced,6 Weeks,₹4000,3 Years,"SK003, SK009",Yes,ROLE003
CERT004,Professional Certification 4,IBM,Beginner,7 Weeks,₹5000,Lifetime,"SK004, SK010",Yes,ROLE004
CERT005,Professional Certification 5,Oracle,Intermediate,8 Weeks,₹6000,2 Years,"SK005, SK011",Yes,ROLE005
CERT006,Professional Certification 6,Cisco,Advanced,9 Weeks,₹7000,3 Years,"SK006, SK012",Yes,ROLE006
CERT007,Professional Certification 7,CompTIA,Beginner,10 Weeks,₹8000,Lifetime,"SK007, SK013",Yes,ROLE007
CERT008,Professional Certification 8,Salesforce,Intermediate,11 Weeks,₹9000,2 Years,"SK008, SK014",Yes,ROLE008
CERT009,Professional Certification 9,Meta,Advanced,12 Weeks,₹10000,3 Years,"SK009, SK015",Yes,ROLE009
CERT010,Professional Certification 10,Databricks,Beginner,4 Weeks,₹11000,Lifetime,"SK010, SK016",Yes,ROLE010
CERT011,Professional Certification 11,Google,Intermediate,5 Weeks,₹2000,2 Years,"SK011, SK017",Yes,ROLE011
CERT012,Professional Certification 12,Microsoft,Advanced,6 Weeks,₹3000,3 Years,"SK012, SK018",Yes,ROLE012
CERT013,Professional Certification 13,AWS,Beginner,7 Weeks,₹4000,Lifetime,"SK013, SK019",Yes,ROLE013
CERT014,Professional Certification 14,IBM,Intermediate,8 Weeks,₹5000,2 Years,"SK014, SK020",Yes,ROLE014
CERT015,Professional Certification 15,Oracle,Advanced,9 Weeks,₹6000,3 Years,"SK015, SK021",Yes,ROLE015
CERT016,Professional Certification 16,Cisco,Beginner,10 Weeks,₹7000,Lifetime,"SK016, SK022",Yes,ROLE016
CERT017,Professional Certification 17,CompTIA,Intermediate,11 Weeks,₹8000,2 Years,"SK017, SK023",Yes,ROLE017
CERT018,Professional Certification 18,Salesforce,Advanced,12 Weeks,₹9000,3 Years,"SK018, SK024",Yes,ROLE018
CERT019,Professional Certification 19,Meta,Beginner,4 Weeks,₹10000,Lifetime,"SK019, SK025",Yes,ROLE019
CERT020,Professional Certification 20,Databricks,Intermediate,5 Weeks,₹11000,2 Years,"SK020, SK026",Yes,ROLE020
CERT021,Professional Certification 21,Google,Advanced,6 Weeks,₹2000,3 Years,"SK021, SK027",Yes,ROLE021
CERT022,Professional Certification 22,Microsoft,Beginner,7 Weeks,₹3000,Lifetime,"SK022, SK028",Yes,ROLE022
CERT023,Professional Certification 23,AWS,Intermediate,8 Weeks,₹4000,2 Years,"SK023, SK029",Yes,ROLE023
CERT024,Professional Certification 24,IBM,Advanced,9 Weeks,₹5000,3 Years,"SK024, SK030",Yes,ROLE024
CERT025,Professional Certification 25,Oracle,Beginner,10 Weeks,₹6000,Lifetime,"SK025, SK031",Yes,ROLE025
CERT026,Professional Certification 26,Cisco,Intermediate,11 Weeks,₹7000,2 Years,"SK026, SK032",Yes,ROLE026
CERT027,Professional Certification 27,CompTIA,Advanced,12 Weeks,₹8000,3 Years,"SK027, SK033",Yes,ROLE027
CERT028,Professional Certification 28,Salesforce,Beginner,4 Weeks,₹9000,Lifetime,"SK028, SK034",Yes,ROLE028
CERT029,Professional Certification 29,Meta,Intermediate,5 Weeks,₹10000,2 Years,"SK029, SK035",Yes,ROLE029
CERT030,Professional Certification 30,Databricks,Advanced,6 Weeks,₹11000,3 Years,"SK030, SK036",Yes,ROLE030
CERT031,Professional Certification 31,Google,Beginner,7 Weeks,₹2000,Lifetime,"SK031, SK037",Yes,ROLE031
CERT032,Professional Certification 32,Microsoft,Intermediate,8 Weeks,₹3000,2 Years,"SK032, SK038",Yes,ROLE032
CERT033,Professional Certification 33,AWS,Advanced,9 Weeks,₹4000,3 Years,"SK033, SK039",Yes,ROLE033
CERT034,Professional Certification 34,IBM,Beginner,10 Weeks,₹5000,Lifetime,"SK034, SK040",Yes,ROLE034
CERT035,Professional Certification 35,Oracle,Intermediate,11 Weeks,₹6000,2 Years,"SK035, SK041",Yes,ROLE035
CERT036,Professional Certification 36,Cisco,Advanced,12 Weeks,₹7000,3 Years,"SK036, SK042",Yes,ROLE036
CERT037,Professional Certification 37,CompTIA,Beginner,4 Weeks,₹8000,Lifetime,"SK037, SK043",Yes,ROLE037
CERT038,Professional Certification 38,Salesforce,Intermediate,5 Weeks,₹9000,2 Years,"SK038, SK044",Yes,ROLE038
CERT039,Professional Certification 39,Meta,Advanced,6 Weeks,₹10000,3 Years,"SK039, SK045",Yes,ROLE039
CERT040,Professional Certification 40,Databricks,Beginner,7 Weeks,₹11000,Lifetime,"SK040, SK046",Yes,ROLE040
CERT041,Professional Certification 41,Google,Intermediate,8 Weeks,₹2000,2 Years,"SK041, SK047",Yes,ROLE041
CERT042,Professional Certification 42,Microsoft,Advanced,9 Weeks,₹3000,3 Years,"SK042, SK048",Yes,ROLE042
CERT043,Professional Certification 43,AWS,Beginner,10 Weeks,₹4000,Lifetime,"SK043, SK049",Yes,ROLE043
CERT044,Professional Certification 44,IBM,Intermediate,11 Weeks,₹5000,2 Years,"SK044, SK050",Yes,ROLE044
CERT045,Professional Certification 45,Oracle,Advanced,12 Weeks,₹6000,3 Years,"SK045, SK051",Yes,ROLE045
CERT046,Professional Certification 46,Cisco,Beginner,4 Weeks,₹7000,Lifetime,"SK046, SK052",Yes,ROLE046
CERT047,Professional Certification 47,CompTIA,Intermediate,5 Weeks,₹8000,2 Years,"SK047, SK053",Yes,ROLE047
CERT048,Professional Certification 48,Salesforce,Advanced,6 Weeks,₹9000,3 Years,"SK048, SK054",Yes,ROLE048
