course_id,course_name,platform,provider,difficulty,duration_hours,language,certificate,price,rating,skill_id,role_id,course_url
COURSE0001,Python Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK001,ROLE001,https://example.com/course/1
COURSE0002,Python Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK001,ROLE001,https://example.com/course/2
COURSE0003,Java Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK002,ROLE002,https://example.com/course/3
COURSE0004,Java Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK002,ROLE002,https://example.com/course/4
COURSE0005,C Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK003,ROLE003,https://example.com/course/5
COURSE0006,C Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK003,ROLE003,https://example.com/course/6
COURSE0007,C++ Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK004,ROLE004,https://example.com/course/7
COURSE0008,C++ Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK004,ROLE004,https://example.com/course/8
COURSE0009,C# Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK005,ROLE005,https://example.com/course/9
COURSE0010,C# Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK005,ROLE005,https://example.com/course/10
COURSE0011,JavaScript Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK006,ROLE006,https://example.com/course/11
COURSE0012,JavaScript Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK006,ROLE006,https://example.com/course/12
COURSE0013,TypeScript Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK007,ROLE007,https://example.com/course/13
COURSE0014,TypeScript Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK007,ROLE007,https://example.com/course/14
COURSE0015,Go Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK008,ROLE008,https://example.com/course/15
COURSE0016,Go Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK008,ROLE008,https://example.com/course/16
COURSE0017,Rust Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK009,ROLE009,https://example.com/course/17
COURSE0018,Rust Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK009,ROLE009,https://example.com/course/18
COURSE0019,PHP Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK010,ROLE010,https://example.com/course/19
COURSE0020,PHP Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK010,ROLE010,https://example.com/course/20
COURSE0021,Kotlin Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK011,ROLE011,https://example.com/course/21
COURSE0022,Kotlin Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK011,ROLE011,https://example.com/course/22
COURSE0023,Swift Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK012,ROLE012,https://example.com/course/23
COURSE0024,Swift Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK012,ROLE012,https://example.com/course/24
COURSE0025,R Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK013,ROLE013,https://example.com/course/25
COURSE0026,R Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK013,ROLE013,https://example.com/course/26
COURSE0027,MATLAB Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK014,ROLE014,https://example.com/course/27
COURSE0028,MATLAB Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK014,ROLE014,https://example.com/course/28
COURSE0029,Scala Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK015,ROLE015,https://example.com/course/29
COURSE0030,Scala Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK015,ROLE015,https://example.com/course/30
COURSE0031,Dart Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK016,ROLE016,https://example.com/course/31
COURSE0032,Dart Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK016,ROLE016,https://example.com/course/32
COURSE0033,Ruby Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK017,ROLE017,https://example.com/course/33
COURSE0034,Ruby Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK017,ROLE017,https://example.com/course/34
COURSE0035,Perl Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK018,ROLE018,https://example.com/course/35
COURSE0036,Perl Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK018,ROLE018,https://example.com/course/36
COURSE0037,Shell Scripting Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK019,ROLE019,https://example.com/course/37
COURSE0038,Shell Scripting Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK019,ROLE019,https://example.com/course/38
COURSE0039,Bash Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK020,ROLE020,https://example.com/course/39
COURSE0040,Bash Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK020,ROLE020,https://example.com/course/40
COURSE0041,HTML Fundamentals,NPTEL,Meta,Beginner,20,English,Yes,Free,4.5,SK021,ROLE021,https://example.com/course/41
COURSE0042,HTML Advanced,YouTube,Microsoft,Intermediate,40,English,Yes,Paid,4.5,SK021,ROLE021,https://example.com/course/42
COURSE0043,CSS Fundamentals,YouTube,Microsoft,Beginner,20,English,Yes,Free,4.5,SK022,ROLE022,https://example.com/course/43
COURSE0044,CSS Advanced,freeCodeCamp,DeepLearning.AI,Intermediate,40,English,Yes,Paid,4.5,SK022,ROLE022,https://example.com/course/44
COURSE0045,Bootstrap Fundamentals,freeCodeCamp,DeepLearning.AI,Beginner,20,English,Yes,Free,4.5,SK023,ROLE023,https://example.com/course/45
COURSE0046,Bootstrap Advanced,Google,NPTEL,Intermediate,40,English,Yes,Paid,4.5,SK023,ROLE023,https://example.com/course/46
COURSE0047,Tailwind CSS Fundamentals,Google,NPTEL,Beginner,20,English,Yes,Free,4.5,SK024,ROLE024,https://example.com/course/47
COURSE0048,Tailwind CSS Advanced,Coursera,Google,Intermediate,40,English,Yes,Paid,4.5,SK024,ROLE024,https://example.com/course/48
COURSE0049,React Fundamentals,Coursera,Google,Beginner,20,English,Yes,Free,4.5,SK025,ROLE025,https://example.com/course/49
COURSE0050,React Advanced,Udemy,IBM,Intermediate,40,English,Yes,Paid,4.5,SK025,ROLE025,https://example.com/course/50
COURSE0051,Angular Fundamentals,Udemy,IBM,Beginner,20,English,Yes,Free,4.5,SK026,ROLE026,https://example.com/course/51
COURSE0052,Angular Advanced,NPTEL,Meta,Intermediate,40,English,Yes,Paid,4.5,SK026,ROLE026,https://example.com/course/52
